ano_dados,tipo_arquivo,header_hash,qtd_arquivos,qtd_colunas,encoding_mais_comum,colunas_json,tipos_inferidos_json
2019,contratos,af557e9caebc1772169d41f5c3b7f11cc947dd9f,370,11,utf-8,"[""ano"", ""cnpjCpfContratado"", ""dataAssinatura"", ""dataVigenciaFinal"", ""dataVigenciaInicial"", ""nomeContratado"", ""nomeEntidade"", ""numero"", ""objeto"", ""situacao"", ""valor""]","{""ano"": ""numeric_like"", ""cnpjCpfContratado"": ""text"", ""dataAssinatura"": ""datetime_like"", ""dataVigenciaFinal"": ""datetime_like"", ""dataVigenciaInicial"": ""datetime_like"", ""nomeContratado"": ""text"", ""nomeEntidade"": ""text"", ""numero"": ""numeric_like"", ""objeto"": ""text"", ""situacao"": ""empty"", ""valor"": ""numeric_like""}"
2019,despesas,e4454427dcf042dbf1f484a4bfc8f61897a523a9,478,12,utf-8,"[""acao"", ""ano"", ""descricaoElemento"", ""fonteRecurso"", ""funcao"", ""id"", ""numeroElemento"", ""orgao"", ""portaria"", ""programa"", ""subfuncao"", ""unidade""]","{""acao"": ""numeric_like"", ""ano"": ""numeric_like"", ""descricaoElemento"": ""text"", ""fonteRecurso"": ""text"", ""funcao"": ""numeric_like"", ""id"": ""boolean_like"", ""numeroElemento"": ""numeric_like"", ""orgao"": ""text"", ""portaria"": ""empty"", ""programa"": ""numeric_like"", ""subfuncao"": ""numeric_like"", ""unidade"": ""empty""}"
2019,documentosRelacionados,d654916fd322ab5272db937294844251a3b2d594,421,5,utf-8,"[""arquivo"", ""data"", ""descricao"", ""numero"", ""tipo""]","{""arquivo"": ""text"", ""data"": ""datetime_like"", ""descricao"": ""text"", ""numero"": ""empty"", ""tipo"": ""text""}"
2019,itens,d31e3092e1a7f8cc2487c4c192c1b226ce09a77e,337,8,utf-8,"[""descricao"", ""idItem"", ""numero"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""idItem"": ""numeric_like"", ""numero"": ""numeric_like"", ""quantidade"": ""numeric_like"", ""situacao"": ""text"", ""unidadeMedida"": ""text"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2019,itensProposta,8167cc253e461f5ada40ba3103668701f95ee095,1725,7,utf-8,"[""descricao"", ""id"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""id"": ""boolean_like"", ""quantidade"": ""boolean_like"", ""situacao"": ""text"", ""unidadeMedida"": ""empty"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2019,itensVencedores,2792913a4a995909915a703ec1d01ce042bcaa4f,481,11,utf-8,"[""cnpjCpfVencedor"", ""codigo"", ""descricao"", ""numero"", ""participanteVencedor"", ""quantidade"", ""unidadeMedida"", ""valorTotalReferencia"", ""valorTotalVencedor"", ""valorUnitarioReferencia"", ""valorUnitarioVencedor""]","{""cnpjCpfVencedor"": ""text"", ""codigo"": ""numeric_like"", ""descricao"": ""text"", ""numero"": ""boolean_like"", ""participanteVencedor"": ""text"", ""quantidade"": ""boolean_like"", ""unidadeMedida"": ""text"", ""valorTotalReferencia"": ""numeric_like"", ""valorTotalVencedor"": ""numeric_like"", ""valorUnitarioReferencia"": ""numeric_like"", ""valorUnitarioVencedor"": ""numeric_like""}"
2019,participantes,318522d848048b2df8a33f81eae4c47393ecf12e,483,8,utf-8,"[""cnpjCpfFornecedor"", ""formaParticipacao"", ""idFornecedor"", ""itensProposta"", ""nomeFonecedor"", ""representanteCertame"", ""responsavelFornecedor"", ""socios""]","{""cnpjCpfFornecedor"": ""text"", ""formaParticipacao"": ""text"", ""idFornecedor"": ""empty"", ""itensProposta"": ""text"", ""nomeFonecedor"": ""text"", ""representanteCertame"": ""empty"", ""responsavelFornecedor"": ""empty"", ""socios"": ""empty""}"
2019,processos_licitatorios,daf77f10be0ce2313c626b33b4fa2e1206811cae,1,42,utf-8,"[""nomeEntidade"", ""numeroProcesso"", ""anoProcesso"", ""numeroLicitacao"", ""anoLicitacao"", ""dataPublicacao"", ""objeto"", ""modalidade"", ""tipoObjeto"", ""formaJulgamento"", ""dataHomologacao"", ""situacao"", ""adesao"", ""atasRegistroPrecos"", ""cidadeCertame"", ""contratos"", ""dataAberturaEnvelopes"", ""dataAnulacao"", ""dataCriacao"", ""dataJulgamento"", ""dataRevogacao"", ""despesas"", ""documentosRelacionados"", ""emailContato"", ""empenhos"", ""enderecoCertame"", ""enderecoEntrega"", ""estadoCertame"", ""formaContratacao"", ""inicioRecebimentoEnvelopes"", ""itensVencedores"", ""meioDivulgacao"", ""motivoAnulacao"", ""motivoRevogacao"", ""nomeContato"", ""participantes"", ""registroPrecos"", ""telefoneContato"", ""terminoRecebimentoEnvelopes"", ""fundamentoLegal"", ""valorEstimado"", ""valorHomologado""]","{""nomeEntidade"": ""text"", ""numeroProcesso"": ""numeric_like"", ""anoProcesso"": ""numeric_like"", ""numeroLicitacao"": ""numeric_like"", ""anoLicitacao"": ""numeric_like"", ""dataPublicacao"": ""datetime_like"", ""objeto"": ""text"", ""modalidade"": ""text"", ""tipoObjeto"": ""text"", ""formaJulgamento"": ""text"", ""dataHomologacao"": ""datetime_like"", ""situacao"": ""text"", ""adesao"": ""empty"", ""atasRegistroPrecos"": ""text"", ""cidadeCertame"": ""text"", ""contratos"": ""text"", ""dataAberturaEnvelopes"": ""datetime_like"", ""dataAnulacao"": ""empty"", ""dataCriacao"": ""datetime_like"", ""dataJulgamento"": ""datetime_like"", ""dataRevogacao"": ""empty"", ""despesas"": ""text"", ""documentosRelacionados"": ""text"", ""emailContato"": ""text"", ""empenhos"": ""empty"", ""enderecoCertame"": ""text"", ""enderecoEntrega"": ""text"", ""estadoCertame"": ""text"", ""formaContratacao"": ""text"", ""inicioRecebimentoEnvelopes"": ""datetime_like"", ""itensVencedores"": ""text"", ""meioDivulgacao"": ""text"", ""motivoAnulacao"": ""empty"", ""motivoRevogacao"": ""empty"", ""nomeContato"": ""text"", ""participantes"": ""text"", ""registroPrecos"": ""boolean_like"", ""telefoneContato"": ""empty"", ""terminoRecebimentoEnvelopes"": ""datetime_like"", ""fundamentoLegal"": ""text"", ""valorEstimado"": ""numeric_like"", ""valorHomologado"": ""numeric_like""}"
2020,atasRegistroPrecos,3696ad2c3d11de9cc04fc9b6e248144766f47380,112,6,utf-8,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}"
2020,contratos,af557e9caebc1772169d41f5c3b7f11cc947dd9f,283,11,utf-8,"[""ano"", ""cnpjCpfContratado"", ""dataAssinatura"", ""dataVigenciaFinal"", ""dataVigenciaInicial"", ""nomeContratado"", ""nomeEntidade"", ""numero"", ""objeto"", ""situacao"", ""valor""]","{""ano"": ""numeric_like"", ""cnpjCpfContratado"": ""text"", ""dataAssinatura"": ""datetime_like"", ""dataVigenciaFinal"": ""empty"", ""dataVigenciaInicial"": ""datetime_like"", ""nomeContratado"": ""text"", ""nomeEntidade"": ""text"", ""numero"": ""numeric_like"", ""objeto"": ""text"", ""situacao"": ""empty"", ""valor"": ""numeric_like""}"
2020,despesas,e4454427dcf042dbf1f484a4bfc8f61897a523a9,397,12,utf-8,"[""acao"", ""ano"", ""descricaoElemento"", ""fonteRecurso"", ""funcao"", ""id"", ""numeroElemento"", ""orgao"", ""portaria"", ""programa"", ""subfuncao"", ""unidade""]","{""acao"": ""numeric_like"", ""ano"": ""numeric_like"", ""descricaoElemento"": ""text"", ""fonteRecurso"": ""text"", ""funcao"": ""numeric_like"", ""id"": ""numeric_like"", ""numeroElemento"": ""numeric_like"", ""orgao"": ""text"", ""portaria"": ""empty"", ""programa"": ""numeric_like"", ""subfuncao"": ""numeric_like"", ""unidade"": ""empty""}"
2020,documentosRelacionados,d654916fd322ab5272db937294844251a3b2d594,8,5,utf-8,"[""arquivo"", ""data"", ""descricao"", ""numero"", ""tipo""]","{""arquivo"": ""text"", ""data"": ""datetime_like"", ""descricao"": ""text"", ""numero"": ""datetime_like"", ""tipo"": ""text""}"
2020,empenhos,bb77414c1125af7e8154449a9f1d1b996f379121,10,6,utf-8,"[""ano"", ""numero"", ""dataEmissao"", ""tipo"", ""nomeCredor"", ""valor""]","{""ano"": ""numeric_like"", ""numero"": ""numeric_like"", ""dataEmissao"": ""datetime_like"", ""tipo"": ""text"", ""nomeCredor"": ""text"", ""valor"": ""numeric_like""}"
2020,itens,d31e3092e1a7f8cc2487c4c192c1b226ce09a77e,351,8,utf-8,"[""descricao"", ""idItem"", ""numero"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""idItem"": ""numeric_like"", ""numero"": ""numeric_like"", ""quantidade"": ""numeric_like"", ""situacao"": ""text"", ""unidadeMedida"": ""text"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2020,itensProposta,8167cc253e461f5ada40ba3103668701f95ee095,1661,7,utf-8,"[""descricao"", ""id"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""id"": ""boolean_like"", ""quantidade"": ""boolean_like"", ""situacao"": ""text"", ""unidadeMedida"": ""empty"", ""valorTotal"": ""boolean_like"", ""valorUnitario"": ""boolean_like""}"
2020,itensVencedores,2792913a4a995909915a703ec1d01ce042bcaa4f,409,11,utf-8,"[""cnpjCpfVencedor"", ""codigo"", ""descricao"", ""numero"", ""participanteVencedor"", ""quantidade"", ""unidadeMedida"", ""valorTotalReferencia"", ""valorTotalVencedor"", ""valorUnitarioReferencia"", ""valorUnitarioVencedor""]","{""cnpjCpfVencedor"": ""text"", ""codigo"": ""numeric_like"", ""descricao"": ""text"", ""numero"": ""numeric_like"", ""participanteVencedor"": ""text"", ""quantidade"": ""numeric_like"", ""unidadeMedida"": ""text"", ""valorTotalReferencia"": ""numeric_like"", ""valorTotalVencedor"": ""numeric_like"", ""valorUnitarioReferencia"": ""numeric_like"", ""valorUnitarioVencedor"": ""numeric_like""}"
2020,ocorrencias,3848726efa786e05d03bf5dd13ec838c32d681be,2,4,utf-8,"[""data"", ""justificativa"", ""responsavel"", ""tipo""]","{""data"": ""datetime_like"", ""justificativa"": ""text"", ""responsavel"": ""text"", ""tipo"": ""text""}"
2020,participantes,318522d848048b2df8a33f81eae4c47393ecf12e,414,8,utf-8,"[""cnpjCpfFornecedor"", ""formaParticipacao"", ""idFornecedor"", ""itensProposta"", ""nomeFonecedor"", ""representanteCertame"", ""responsavelFornecedor"", ""socios""]","{""cnpjCpfFornecedor"": ""text"", ""formaParticipacao"": ""text"", ""idFornecedor"": ""empty"", ""itensProposta"": ""text"", ""nomeFonecedor"": ""text"", ""representanteCertame"": ""text"", ""responsavelFornecedor"": ""text"", ""socios"": ""empty""}"
2020,processos_licitatorios,daf77f10be0ce2313c626b33b4fa2e1206811cae,1,42,utf-8,"[""nomeEntidade"", ""numeroProcesso"", ""anoProcesso"", ""numeroLicitacao"", ""anoLicitacao"", ""dataPublicacao"", ""objeto"", ""modalidade"", ""tipoObjeto"", ""formaJulgamento"", ""dataHomologacao"", ""situacao"", ""adesao"", ""atasRegistroPrecos"", ""cidadeCertame"", ""contratos"", ""dataAberturaEnvelopes"", ""dataAnulacao"", ""dataCriacao"", ""dataJulgamento"", ""dataRevogacao"", ""despesas"", ""documentosRelacionados"", ""emailContato"", ""empenhos"", ""enderecoCertame"", ""enderecoEntrega"", ""estadoCertame"", ""formaContratacao"", ""inicioRecebimentoEnvelopes"", ""itensVencedores"", ""meioDivulgacao"", ""motivoAnulacao"", ""motivoRevogacao"", ""nomeContato"", ""participantes"", ""registroPrecos"", ""telefoneContato"", ""terminoRecebimentoEnvelopes"", ""fundamentoLegal"", ""valorEstimado"", ""valorHomologado""]","{""nomeEntidade"": ""text"", ""numeroProcesso"": ""numeric_like"", ""anoProcesso"": ""numeric_like"", ""numeroLicitacao"": ""numeric_like"", ""anoLicitacao"": ""numeric_like"", ""dataPublicacao"": ""datetime_like"", ""objeto"": ""text"", ""modalidade"": ""text"", ""tipoObjeto"": ""text"", ""formaJulgamento"": ""text"", ""dataHomologacao"": ""datetime_like"", ""situacao"": ""text"", ""adesao"": ""empty"", ""atasRegistroPrecos"": ""text"", ""cidadeCertame"": ""text"", ""contratos"": ""text"", ""dataAberturaEnvelopes"": ""datetime_like"", ""dataAnulacao"": ""empty"", ""dataCriacao"": ""datetime_like"", ""dataJulgamento"": ""datetime_like"", ""dataRevogacao"": ""datetime_like"", ""despesas"": ""text"", ""documentosRelacionados"": ""text"", ""emailContato"": ""text"", ""empenhos"": ""text"", ""enderecoCertame"": ""text"", ""enderecoEntrega"": ""text"", ""estadoCertame"": ""text"", ""formaContratacao"": ""text"", ""inicioRecebimentoEnvelopes"": ""datetime_like"", ""itensVencedores"": ""text"", ""meioDivulgacao"": ""text"", ""motivoAnulacao"": ""text"", ""motivoRevogacao"": ""text"", ""nomeContato"": ""text"", ""participantes"": ""text"", ""registroPrecos"": ""boolean_like"", ""telefoneContato"": ""empty"", ""terminoRecebimentoEnvelopes"": ""datetime_like"", ""fundamentoLegal"": ""text"", ""valorEstimado"": ""empty"", ""valorHomologado"": ""empty""}"
2021,atasRegistroPrecos,3696ad2c3d11de9cc04fc9b6e248144766f47380,120,6,utf-8,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""text""}"
2021,contratos,af557e9caebc1772169d41f5c3b7f11cc947dd9f,325,11,utf-8,"[""ano"", ""cnpjCpfContratado"", ""dataAssinatura"", ""dataVigenciaFinal"", ""dataVigenciaInicial"", ""nomeContratado"", ""nomeEntidade"", ""numero"", ""objeto"", ""situacao"", ""valor""]","{""ano"": ""numeric_like"", ""cnpjCpfContratado"": ""text"", ""dataAssinatura"": ""datetime_like"", ""dataVigenciaFinal"": ""empty"", ""dataVigenciaInicial"": ""datetime_like"", ""nomeContratado"": ""text"", ""nomeEntidade"": ""text"", ""numero"": ""numeric_like"", ""objeto"": ""text"", ""situacao"": ""empty"", ""valor"": ""numeric_like""}"
2021,despesas,e4454427dcf042dbf1f484a4bfc8f61897a523a9,337,12,utf-8,"[""acao"", ""ano"", ""descricaoElemento"", ""fonteRecurso"", ""funcao"", ""id"", ""numeroElemento"", ""orgao"", ""portaria"", ""programa"", ""subfuncao"", ""unidade""]","{""acao"": ""numeric_like"", ""ano"": ""numeric_like"", ""descricaoElemento"": ""text"", ""fonteRecurso"": ""text"", ""funcao"": ""numeric_like"", ""id"": ""numeric_like"", ""numeroElemento"": ""numeric_like"", ""orgao"": ""text"", ""portaria"": ""empty"", ""programa"": ""numeric_like"", ""subfuncao"": ""numeric_like"", ""unidade"": ""empty""}"
2021,documentosRelacionados,d654916fd322ab5272db937294844251a3b2d594,220,5,utf-8,"[""arquivo"", ""data"", ""descricao"", ""numero"", ""tipo""]","{""arquivo"": ""text"", ""data"": ""empty"", ""descricao"": ""text"", ""numero"": ""empty"", ""tipo"": ""text""}"
2021,empenhos,bb77414c1125af7e8154449a9f1d1b996f379121,88,6,utf-8,"[""ano"", ""numero"", ""dataEmissao"", ""tipo"", ""nomeCredor"", ""valor""]","{""ano"": ""numeric_like"", ""numero"": ""numeric_like"", ""dataEmissao"": ""datetime_like"", ""tipo"": ""text"", ""nomeCredor"": ""text"", ""valor"": ""numeric_like""}"
2021,itens,d31e3092e1a7f8cc2487c4c192c1b226ce09a77e,357,8,utf-8,"[""descricao"", ""idItem"", ""numero"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""idItem"": ""numeric_like"", ""numero"": ""numeric_like"", ""quantidade"": ""numeric_like"", ""situacao"": ""empty"", ""unidadeMedida"": ""text"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2021,itensProposta,8167cc253e461f5ada40ba3103668701f95ee095,1874,7,utf-8,"[""descricao"", ""id"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""id"": ""numeric_like"", ""quantidade"": ""boolean_like"", ""situacao"": ""text"", ""unidadeMedida"": ""text"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2021,itensVencedores,2792913a4a995909915a703ec1d01ce042bcaa4f,464,11,utf-8,"[""cnpjCpfVencedor"", ""codigo"", ""descricao"", ""numero"", ""participanteVencedor"", ""quantidade"", ""unidadeMedida"", ""valorTotalReferencia"", ""valorTotalVencedor"", ""valorUnitarioReferencia"", ""valorUnitarioVencedor""]","{""cnpjCpfVencedor"": ""text"", ""codigo"": ""numeric_like"", ""descricao"": ""text"", ""numero"": ""boolean_like"", ""participanteVencedor"": ""text"", ""quantidade"": ""numeric_like"", ""unidadeMedida"": ""text"", ""valorTotalReferencia"": ""numeric_like"", ""valorTotalVencedor"": ""numeric_like"", ""valorUnitarioReferencia"": ""numeric_like"", ""valorUnitarioVencedor"": ""numeric_like""}"
2021,ocorrencias,3848726efa786e05d03bf5dd13ec838c32d681be,61,4,utf-8,"[""data"", ""justificativa"", ""responsavel"", ""tipo""]","{""data"": ""datetime_like"", ""justificativa"": ""text"", ""responsavel"": ""text"", ""tipo"": ""text""}"
2021,participantes,318522d848048b2df8a33f81eae4c47393ecf12e,474,8,utf-8,"[""cnpjCpfFornecedor"", ""formaParticipacao"", ""idFornecedor"", ""itensProposta"", ""nomeFonecedor"", ""representanteCertame"", ""responsavelFornecedor"", ""socios""]","{""cnpjCpfFornecedor"": ""text"", ""formaParticipacao"": ""text"", ""idFornecedor"": ""empty"", ""itensProposta"": ""text"", ""nomeFonecedor"": ""text"", ""representanteCertame"": ""text"", ""responsavelFornecedor"": ""text"", ""socios"": ""empty""}"
2021,processos_licitatorios,daf77f10be0ce2313c626b33b4fa2e1206811cae,1,42,utf-8,"[""nomeEntidade"", ""numeroProcesso"", ""anoProcesso"", ""numeroLicitacao"", ""anoLicitacao"", ""dataPublicacao"", ""objeto"", ""modalidade"", ""tipoObjeto"", ""formaJulgamento"", ""dataHomologacao"", ""situacao"", ""adesao"", ""atasRegistroPrecos"", ""cidadeCertame"", ""contratos"", ""dataAberturaEnvelopes"", ""dataAnulacao"", ""dataCriacao"", ""dataJulgamento"", ""dataRevogacao"", ""despesas"", ""documentosRelacionados"", ""emailContato"", ""empenhos"", ""enderecoCertame"", ""enderecoEntrega"", ""estadoCertame"", ""formaContratacao"", ""inicioRecebimentoEnvelopes"", ""itensVencedores"", ""meioDivulgacao"", ""motivoAnulacao"", ""motivoRevogacao"", ""nomeContato"", ""participantes"", ""registroPrecos"", ""telefoneContato"", ""terminoRecebimentoEnvelopes"", ""fundamentoLegal"", ""valorEstimado"", ""valorHomologado""]","{""nomeEntidade"": ""text"", ""numeroProcesso"": ""numeric_like"", ""anoProcesso"": ""numeric_like"", ""numeroLicitacao"": ""numeric_like"", ""anoLicitacao"": ""numeric_like"", ""dataPublicacao"": ""datetime_like"", ""objeto"": ""text"", ""modalidade"": ""text"", ""tipoObjeto"": ""text"", ""formaJulgamento"": ""text"", ""dataHomologacao"": ""datetime_like"", ""situacao"": ""text"", ""adesao"": ""empty"", ""atasRegistroPrecos"": ""text"", ""cidadeCertame"": ""text"", ""contratos"": ""text"", ""dataAberturaEnvelopes"": ""datetime_like"", ""dataAnulacao"": ""empty"", ""dataCriacao"": ""datetime_like"", ""dataJulgamento"": ""datetime_like"", ""dataRevogacao"": ""datetime_like"", ""despesas"": ""text"", ""documentosRelacionados"": ""text"", ""emailContato"": ""text"", ""empenhos"": ""text"", ""enderecoCertame"": ""text"", ""enderecoEntrega"": ""text"", ""estadoCertame"": ""text"", ""formaContratacao"": ""text"", ""inicioRecebimentoEnvelopes"": ""datetime_like"", ""itensVencedores"": ""text"", ""meioDivulgacao"": ""text"", ""motivoAnulacao"": ""text"", ""motivoRevogacao"": ""text"", ""nomeContato"": ""text"", ""participantes"": ""text"", ""registroPrecos"": ""boolean_like"", ""telefoneContato"": ""empty"", ""terminoRecebimentoEnvelopes"": ""datetime_like"", ""fundamentoLegal"": ""text"", ""valorEstimado"": ""numeric_like"", ""valorHomologado"": ""numeric_like""}"
2022,atasRegistroPrecos,3696ad2c3d11de9cc04fc9b6e248144766f47380,79,6,utf-8,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}"
2022,contratos,af557e9caebc1772169d41f5c3b7f11cc947dd9f,190,11,utf-8,"[""ano"", ""cnpjCpfContratado"", ""dataAssinatura"", ""dataVigenciaFinal"", ""dataVigenciaInicial"", ""nomeContratado"", ""nomeEntidade"", ""numero"", ""objeto"", ""situacao"", ""valor""]","{""ano"": ""numeric_like"", ""cnpjCpfContratado"": ""text"", ""dataAssinatura"": ""datetime_like"", ""dataVigenciaFinal"": ""empty"", ""dataVigenciaInicial"": ""datetime_like"", ""nomeContratado"": ""text"", ""nomeEntidade"": ""text"", ""numero"": ""numeric_like"", ""objeto"": ""text"", ""situacao"": ""empty"", ""valor"": ""numeric_like""}"
2022,despesas,e4454427dcf042dbf1f484a4bfc8f61897a523a9,88,12,utf-8,"[""acao"", ""ano"", ""descricaoElemento"", ""fonteRecurso"", ""funcao"", ""id"", ""numeroElemento"", ""orgao"", ""portaria"", ""programa"", ""subfuncao"", ""unidade""]","{""acao"": ""numeric_like"", ""ano"": ""numeric_like"", ""descricaoElemento"": ""text"", ""fonteRecurso"": ""text"", ""funcao"": ""numeric_like"", ""id"": ""numeric_like"", ""numeroElemento"": ""numeric_like"", ""orgao"": ""text"", ""portaria"": ""empty"", ""programa"": ""numeric_like"", ""subfuncao"": ""numeric_like"", ""unidade"": ""empty""}"
2022,documentosRelacionados,d654916fd322ab5272db937294844251a3b2d594,305,5,utf-8,"[""arquivo"", ""data"", ""descricao"", ""numero"", ""tipo""]","{""arquivo"": ""text"", ""data"": ""empty"", ""descricao"": ""text"", ""numero"": ""empty"", ""tipo"": ""text""}"
2022,empenhos,bb77414c1125af7e8154449a9f1d1b996f379121,56,6,utf-8,"[""ano"", ""numero"", ""dataEmissao"", ""tipo"", ""nomeCredor"", ""valor""]","{""ano"": ""numeric_like"", ""numero"": ""numeric_like"", ""dataEmissao"": ""datetime_like"", ""tipo"": ""text"", ""nomeCredor"": ""text"", ""valor"": ""numeric_like""}"
2022,itens,d31e3092e1a7f8cc2487c4c192c1b226ce09a77e,245,8,utf-8,"[""descricao"", ""idItem"", ""numero"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""idItem"": ""numeric_like"", ""numero"": ""numeric_like"", ""quantidade"": ""numeric_like"", ""situacao"": ""text"", ""unidadeMedida"": ""text"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2022,itensProposta,8167cc253e461f5ada40ba3103668701f95ee095,1329,7,utf-8,"[""descricao"", ""id"", ""quantidade"", ""situacao"", ""unidadeMedida"", ""valorTotal"", ""valorUnitario""]","{""descricao"": ""text"", ""id"": ""numeric_like"", ""quantidade"": ""boolean_like"", ""situacao"": ""text"", ""unidadeMedida"": ""empty"", ""valorTotal"": ""numeric_like"", ""valorUnitario"": ""numeric_like""}"
2022,itensVencedores,2792913a4a995909915a703ec1d01ce042bcaa4f,286,11,utf-8,"[""cnpjCpfVencedor"", ""codigo"", ""descricao"", ""numero"", ""participanteVencedor"", ""quantidade"", ""unidadeMedida"", ""valorTotalReferencia"", ""valorTotalVencedor"", ""valorUnitarioReferencia"", ""valorUnitarioVencedor""]","{""cnpjCpfVencedor"": ""text"", ""codigo"": ""numeric_like"", ""descricao"": ""text"", ""numero"": ""boolean_like"", ""participanteVencedor"": ""text"", ""quantidade"": ""boolean_like"", ""unidadeMedida"": ""text"", ""valorTotalReferencia"": ""numeric_like"", ""valorTotalVencedor"": ""numeric_like"", ""valorUnitarioReferencia"": ""numeric_like"", ""valorUnitarioVencedor"": ""numeric_like""}"
2022,ocorrencias,3848726efa786e05d03bf5dd13ec838c32d681be,4,4,utf-8,"[""data"", ""justificativa"", ""responsavel"", ""tipo""]","{""data"": ""datetime_like"", ""justificativa"": ""text"", ""responsavel"": ""text"", ""tipo"": ""text""}"
2022,participantes,318522d848048b2df8a33f81eae4c47393ecf12e,298,8,utf-8,"[""cnpjCpfFornecedor"", ""formaParticipacao"", ""idFornecedor"", ""itensProposta"", ""nomeFonecedor"", ""representanteCertame"", ""responsavelFornecedor"", ""socios""]","{""cnpjCpfFornecedor"": ""text"", ""formaParticipacao"": ""text"", ""idFornecedor"": ""empty"", ""itensProposta"": ""text"", ""nomeFonecedor"": ""text"", ""representanteCertame"": ""empty"", ""responsavelFornecedor"": ""empty"", ""socios"": ""empty""}"
